Ticker,GICS Sector
MMM,Industrials
ABT,Health Care
ABBV,Health Care
ACN,Information Technology
ADBE,Information Technology
AES,Utilities
AFL,Financials
A,Health Care
APD,Materials
ABNB,Consumer Discretionary
AKAM,Information Technology
ALGN,Health Care
ALLE,Industrials
LNT,Utilities
ALL,Financials
GOOGL,Communication Services
GOOG,Communication Services
MO,Consumer Staples
AMZN,Consumer Discretionary
AMCR,Materials
AEE,Utilities
AXP,Financials
AMT,Real Estate
AWK,Utilities
AME,Industrials
AMGN,Health Care
APH,Information Technology
ADI,Information Technology
AON,Financials
APA,Energy
APO,Financials
AAPL,Information Technology
APP,Information Technology
APTV,Consumer Discretionary
ACGL,Financials
ADM,Consumer Staples
ARES,Financials
ANET,Information Technology
AJG,Financials
AIZ,Financials
T,Communication Services
ATO,Utilities
ADSK,Information Technology
ADP,Industrials
AZO,Consumer Discretionary
AVB,Real Estate
AVY,Materials
AXON,Industrials
BKR,Energy
BALL,Materials
BAX,Health Care
BDX,Health Care
BRK-B,Financials
BBY,Consumer Discretionary
TECH,Health Care
BIIB,Health Care
BX,Financials
XYZ,Financials
BA,Industrials
BKNG,Consumer Discretionary
BSX,Health Care
BMY,Health Care
AVGO,Information Technology
BR,Industrials
BRO,Financials
BF-B,Consumer Staples
BLDR,Industrials
BG,Consumer Staples
BXP,Real Estate
CHRW,Industrials
CDNS,Information Technology
CPT,Real Estate
CPB,Consumer Staples
COF,Financials
CCL,Consumer Discretionary
CARR,Industrials
CVNA,Consumer Discretionary
CASY,Consumer Staples
CAT,Industrials
CBOE,Financials
CBRE,Real Estate
CDW,Information Technology
COR,Health Care
CNC,Health Care
CNP,Utilities
CF,Materials
CRL,Health Care
SCHW,Financials
CHTR,Communication Services
CVX,Energy
CMG,Consumer Discretionary
CB,Financials
CHD,Consumer Staples
CIEN,Information Technology
CI,Health Care
CTAS,Industrials
CSCO,Information Technology
CFG,Financials
CME,Financials
CMS,Utilities
KO,Consumer Staples
CTSH,Information Technology
COHR,Information Technology
COIN,Financials
CL,Consumer Staples
FIX,Industrials
CAG,Consumer Staples
COP,Energy
STZ,Consumer Staples
CEG,Utilities
COO,Health Care
CPRT,Industrials
GLW,Information Technology
CPAY,Financials
CTVA,Materials
CSGP,Real Estate
CTRA,Energy
CRH,Materials
CRWD,Information Technology
CCI,Real Estate
CSX,Industrials
CMI,Industrials
CVS,Health Care
DHR,Health Care
DRI,Consumer Discretionary
DDOG,Information Technology
DVA,Health Care
DECK,Consumer Discretionary
DE,Industrials
DELL,Information Technology
DAL,Industrials
DVN,Energy
FANG,Energy
DLR,Real Estate
DG,Consumer Staples
DLTR,Consumer Staples
DPZ,Consumer Discretionary
DASH,Consumer Discretionary
DOV,Industrials
DOW,Materials
DHI,Consumer Discretionary
DTE,Utilities
DD,Materials
ETN,Industrials
SATS,Communication Services
ECL,Materials
EW,Health Care
ELV,Health Care
EME,Industrials
EOG,Energy
EPAM,Information Technology
EQT,Energy
EFX,Industrials
EQIX,Real Estate
ERIE,Financials
ESS,Real Estate
EL,Consumer Staples
EG,Financials
EVRG,Utilities
ES,Utilities
EXE,Energy
EXPE,Consumer Discretionary
EXR,Real Estate
XOM,Energy
FFIV,Information Technology
FDS,Financials
FICO,Information Technology
FAST,Industrials
FRT,Real Estate
FDX,Industrials
FIS,Financials
FITB,Financials
FSLR,Information Technology
FE,Utilities
FISV,Financials
F,Consumer Discretionary
FTNT,Information Technology
FTV,Industrials
FOXA,Communication Services
FOX,Communication Services
BEN,Financials
FCX,Materials
GRMN,Consumer Discretionary
IT,Information Technology
GEHC,Health Care
GEV,Industrials
GEN,Information Technology
GNRC,Industrials
GD,Industrials
GM,Consumer Discretionary
GPC,Consumer Discretionary
GILD,Health Care
GL,Financials
GDDY,Information Technology
GS,Financials
HIG,Financials
HAS,Consumer Discretionary
HCA,Health Care
DOC,Real Estate
HSIC,Health Care
HSY,Consumer Staples
HPE,Information Technology
HLT,Consumer Discretionary
HD,Consumer Discretionary
HRL,Consumer Staples
HST,Real Estate
HWM,Industrials
HPQ,Information Technology
HUM,Health Care
HII,Industrials
IBM,Information Technology
IEX,Industrials
IDXX,Health Care
ITW,Industrials
INCY,Health Care
IR,Industrials
PODD,Health Care
IFF,Materials
IP,Materials
ISRG,Health Care
IVZ,Financials
INVH,Real Estate
IQV,Health Care
IRM,Real Estate
JBHT,Industrials
JBL,Information Technology
JKHY,Financials
J,Industrials
JNJ,Health Care
KVUE,Consumer Staples
KDP,Consumer Staples
KEY,Financials
KEYS,Information Technology
KMB,Consumer Staples
KMI,Energy
KLAC,Information Technology
KHC,Consumer Staples
KR,Consumer Staples
LHX,Industrials
LH,Health Care
LRCX,Information Technology
LVS,Consumer Discretionary
LDOS,Industrials
LEN,Consumer Discretionary
LII,Industrials
LLY,Health Care
LIN,Materials
LYV,Communication Services
LMT,Industrials
L,Financials
LULU,Consumer Discretionary
LITE,Information Technology
LYB,Materials
MTB,Financials
MPC,Energy
MAR,Consumer Discretionary
MRSH,Financials
MAS,Industrials
MA,Financials
MKC,Consumer Staples
MCK,Health Care
MDT,Health Care
MRK,Health Care
META,Communication Services
MTD,Health Care
MGM,Consumer Discretionary
MCHP,Information Technology
MU,Information Technology
MSFT,Information Technology
MRNA,Health Care
TAP,Consumer Staples
MDLZ,Consumer Staples
MPWR,Information Technology
MNST,Consumer Staples
MCO,Financials
MSCI,Financials
NDAQ,Financials
NTAP,Information Technology
NFLX,Communication Services
NEM,Materials
NWSA,Communication Services
NWS,Communication Services
NEE,Utilities
NKE,Consumer Discretionary
NI,Utilities
NDSN,Industrials
NSC,Industrials
NOC,Industrials
NCLH,Consumer Discretionary
NUE,Materials
NVDA,Information Technology
NVR,Consumer Discretionary
NXPI,Information Technology
OXY,Energy
ODFL,Industrials
OMC,Communication Services
ON,Information Technology
OKE,Energy
ORCL,Information Technology
OTIS,Industrials
PCAR,Industrials
PLTR,Information Technology
PANW,Information Technology
PSKY,Communication Services
PH,Industrials
PAYX,Industrials
PYPL,Financials
PNR,Industrials
PEP,Consumer Staples
PFE,Health Care
PCG,Utilities
PM,Consumer Staples
PSX,Energy
PNW,Utilities
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PG,Consumer Staples
PGR,Financials
PTC,Information Technology
PSA,Real Estate
PHM,Consumer Discretionary
PWR,Industrials
QCOM,Information Technology
DGX,Health Care
Q,Information Technology
RL,Consumer Discretionary
RJF,Financials
RTX,Industrials
REGN,Health Care
RF,Financials
RSG,Industrials
RVTY,Health Care
HOOD,Financials
ROK,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RCL,Consumer Discretionary
SPGI,Financials
CRM,Information Technology
SNDK,Information Technology
SLB,Energy
STX,Information Technology
SRE,Utilities
NOW,Information Technology
SHW,Materials
SJM,Consumer Staples
SW,Materials
SOLV,Health Care
SWK,Industrials
SBUX,Consumer Discretionary
STT,Financials
STLD,Materials
STE,Health Care
SYK,Health Care
SMCI,Information Technology
SNPS,Information Technology
SYY,Consumer Staples
TMUS,Communication Services
TROW,Financials
TTWO,Communication Services
TPR,Consumer Discretionary
TRGP,Energy
TGT,Consumer Staples
TEL,Information Technology
TDY,Information Technology
TSLA,Consumer Discretionary
TXN,Information Technology
TPL,Energy
TXT,Industrials
TMO,Health Care
TJX,Consumer Discretionary
TKO,Communication Services
TTD,Communication Services
TSCO,Consumer Discretionary
TT,Industrials
TDG,Industrials
TRV,Financials
TRMB,Information Technology
TFC,Financials
TYL,Information Technology
TSN,Consumer Staples
UBER,Industrials
UDR,Real Estate
ULTA,Consumer Discretionary
UNP,Industrials
UAL,Industrials
UPS,Industrials
URI,Industrials
UNH,Health Care
UHS,Health Care
VLO,Energy
VTR,Real Estate
VLTO,Industrials
VRSN,Information Technology
VRSK,Industrials
VZ,Communication Services
VRTX,Health Care
VRT,Industrials
VTRS,Health Care
VICI,Real Estate
V,Financials
VST,Utilities
WRB,Financials
WAB,Industrials
WMT,Consumer Staples
DIS,Communication Services
WBD,Communication Services
WM,Industrials
WEC,Utilities
WELL,Real Estate
WST,Health Care
WDC,Information Technology
WSM,Consumer Discretionary
WMB,Energy
WTW,Financials
WDAY,Information Technology
WYNN,Consumer Discretionary
XYL,Industrials
YUM,Consumer Discretionary
